logFC	AveExpr	t	P.Value	adj.P.Val	B
CD44	-0.590097844586665	5.88528547788536	-7.75453356202636	2.28138375076245e-13	2.4214017995663e-09	19.6556437741133
HSPB8	-0.572895497664466	7.47041906078312	-7.64819522497556	4.46670687984929e-13	2.4214017995663e-09	19.0231272481792
ITPKB	-0.41225889468117	7.10871339265546	-6.99864118698052	2.39404530228538e-11	8.65207972245937e-08	15.2777983860331
DTNA	-0.428083589889584	7.28095647742299	-6.89559805477589	4.41179906427877e-11	1.19581813637276e-07	14.7033535942293
TGFBR3	-0.480720073367842	6.49017125768221	-6.81659419784006	7.02185928504835e-11	1.52261996736989e-07	14.2667601505447
AEBP1	-0.586307169098935	7.08617794142959	-6.24665204616839	1.80618450917634e-09	3.19712985600459e-06	11.2200934227502
YAP1	-0.368528875446354	6.01428829567698	-6.22247550141286	2.06418640398747e-09	3.19712985600459e-06	11.0950037485741
AHNAK	-0.316614624140589	6.26810204800979	-6.14499875718016	3.15888903072659e-09	4.2810843588922e-06	10.6964941381002
GNG3	0.448156353925023	7.63352179811722	6.12239004086723	3.57401592750759e-09	4.30549785400414e-06	10.5808850579727
SLC25A44	0.207778127618636	7.05432237147391	6.0883214703966	4.3022959413554e-09	4.480923184137e-06	10.4072615676952
EMP1	-0.455792129134013	6.06736056692045	-6.07816536209534	4.54622348510487e-09	4.480923184137e-06	10.3556396400406
FABP3	0.412008927966479	6.0755688333452	6.04071407959344	5.56839105431491e-09	4.65134592518198e-06	10.1658250426968
SORBS1	-0.225705480940964	6.46598961510152	-6.04042309583164	5.57715338750837e-09	4.65134592518198e-06	10.1643536095366
PALLD	-0.363700798432874	6.75469287679313	-5.99349720446196	7.18183072460952e-09	5.56181490830117e-06	9.92774208137715
PLSCR4	-0.418059658377271	7.32848463024358	-5.85509013452836	1.5019372075529e-08	1.08560021361923e-05	9.23781928194404
ECM2	-0.476660598208627	5.21291775273074	-5.74132627921363	2.72928325500986e-08	1.84943056567606e-05	8.67976847948057
NDRG3	0.311429142776999	7.22425180676117	5.6971673650013	3.43367590199165e-08	2.18987730172903e-05	8.46538096227163
CD99	-0.406755214923899	7.21218058451846	-5.66466891174961	4.06245571559193e-08	2.44695249269154e-05	8.3084067535805
HMGCR	0.354055851763187	7.13391208667743	5.65047223849294	4.37116139148603e-08	2.49432272665745e-05	8.24004845039404
ANGPT1	-0.472957082609975	5.36952321199307	-5.62733487345181	4.92395537803035e-08	2.66927621043025e-05	8.12892036422727
ATP6V1G2	0.480130033793688	7.58764816240465	5.60425313515928	5.5431274474781e-08	2.86183751359798e-05	8.01840682542836
MMP20	-0.331731543877268	3.75955735302593	-5.58355561849038	6.16243638906893e-08	2.91870973763748e-05	7.91960471861594
SSPN	-0.327941382716753	5.91416770328621	-5.58262878773057	6.19169193558957e-08	2.91870973763748e-05	7.91518693947791
ARHGEF9	0.369221403434178	6.54838103837803	5.56616221503463	6.73460388220594e-08	3.04235730378653e-05	7.83679221351344
ZFP36L1	-0.321072942158134	6.36428001091994	-5.53065957047244	8.06766943611451e-08	3.49878688105414e-05	7.66837622193412
RTF1	0.215757756438913	5.94560771472947	5.50512545796309	9.18196736165964e-08	3.82888038981207e-05	7.54776262893234
DLG2	0.271153903300516	6.78619042013251	5.48747891333359	1.00382161160756e-07	3.99839563340681e-05	7.46465920532942
TPI1	0.200076388429231	7.70289999534958	5.48187481436551	1.03260540246625e-07	3.99839563340681e-05	7.43831087724974
PFKFB3	-0.296072893553651	8.30140169918892	-5.46653695128867	1.11555500673789e-07	4.17063702863868e-05	7.36630487151948
RAP1GDS1	0.309844825279383	6.37436982048572	5.45462292275204	1.18443053590023e-07	4.28053195674342e-05	7.31048066500907
ENO2	0.369281202232859	8.62016280129266	5.36511259455048	1.85208539884112e-07	6.14885216059893e-05	6.89411005911858
GABRG2	0.473751669800295	6.61423510740582	5.36476870546685	1.85524975248101e-07	6.14885216059893e-05	6.89252079441875
MOAP1	0.333955691371631	7.92373159173359	5.36222125760215	1.87885481081939e-07	6.14885216059893e-05	6.8807503886483
BCAT1	0.256467549089333	5.47109987691872	5.3569896546066	1.92825100037229e-07	6.14885216059893e-05	6.8565916662663
SYN2	0.469142438449312	6.62454002192215	5.33455924497723	2.15473294417557e-07	6.67474702307187e-05	6.75322132804104
SMAD9	-0.303679082744105	5.68948013532094	-5.30553252839325	2.48648538466537e-07	7.33036723591754e-05	6.6199582212483
SCG5	0.353459841949093	8.72043686722005	5.30430146865509	2.50160106741329e-07	7.33036723591754e-05	6.61431901899606
SNAP91	0.421632152757865	8.75221394576696	5.28283802582046	2.77994995891654e-07	7.93163617225609e-05	6.51616576885214
RND2	-0.338545726133634	6.65652837781401	-5.27491641590633	2.89010074739448e-07	8.03448007775665e-05	6.48001927142929
SLC4A8	0.224632603000699	6.1038382855942	5.2396505271043	3.4341215129907e-07	9.30818636096128e-05	6.31962092537295
SERPINA3	-0.846667372362681	8.22238448310074	-5.22913841827414	3.6146888281017e-07	9.55864787177529e-05	6.27197406995063
GPI	0.303204736738321	7.68725981029457	5.22189202925231	3.74449320417724e-07	9.66614174278325e-05	6.23917351779313
TERF2IP	0.243126031972681	8.38420656795158	5.19656144560074	4.23476837244567e-07	0.000106236262946339	6.1247994126367
RGS1	-0.73694965921641	5.85021823710183	-5.19286281893995	4.31137757760462e-07	0.000106236262946339	6.10813616916462
CADPS	0.274366601293881	5.97880481307819	5.17839175581801	4.62424903927175e-07	0.000111413573519521	6.04303118811452
COL19A1	-0.295014012476725	4.18368729563306	-5.17271554984836	4.75289407254597e-07	0.000112023646814225	6.01753359963004
SPARC	-0.437575134054754	9.00854976266275	-5.16659382664041	4.89552781233976e-07	0.000112930452215718	5.99005973646474
CP	-0.483623887870818	5.63904036786772	-5.15836420680589	5.09383407116036e-07	0.000115056977082335	5.95316668931773
RGS4	0.597687538352559	6.30771497214255	5.14384191226328	5.46294213757015e-07	0.000120875956439869	5.88817842381564
DLG3	0.244457781359063	5.64601836283503	5.13201632466946	5.78255291412988e-07	0.000123136891676031	5.83536631939142
ELOVL4	0.388068425486838	6.70518658168804	5.13166673049782	5.79227215963621e-07	0.000123136891676031	5.83380654041676
ATP6V1E1	0.304808126470609	8.38182680234996	5.12596124330622	5.95315047195976e-07	0.000124123187340361	5.8083624764424
OPCML	0.342568170821855	7.14492581312684	5.11570327442032	6.25336036748196e-07	0.000127192206133918	5.76267328507547
FOS	-0.718171889695834	6.21212451929177	-5.11299712287759	6.33497429554657e-07	0.000127192206133918	5.7506322594412
CA10	0.419988748719199	5.95777607450863	5.10137881989301	6.69725561578155e-07	0.000132021173429643	5.69899465744895
NEFL	0.452200508657567	8.22676317477112	5.09738284016362	6.8264389742938e-07	0.000132164734570167	5.68125628924782
DDR2	-0.301315795637741	5.70805036130065	-5.08099954880674	7.38179709328179e-07	0.000138697075020537	5.60864669826938
GFAP	-0.369620755989037	9.70899584660545	-5.07608372248317	7.55680627695457e-07	0.000138697075020537	5.58689674387333
ATP8A2	0.323264196008137	6.23838986429539	5.07376345151973	7.64080111185872e-07	0.000138697075020537	5.57663664266334
AMPH	0.416978632354014	6.52596070312565	5.07281094151137	7.6755437200076e-07	0.000138697075020537	5.5724257920254
IL24	-0.299852420210477	4.00027942178599	-5.066837280501	7.89694819047903e-07	0.000140358544723235	5.54603197067823
ATP1A3	0.461062069169211	6.88948746644692	5.06179087840719	8.08879650992105e-07	0.000141449567355748	5.52375462344507
CD163	-0.637035817087599	5.47388561378198	-5.04520215847819	8.75179981769913e-07	0.000150614307338879	5.45064972478548
UQCRH	0.237287878174921	7.52731367494255	5.03249386113176	9.29503000477105e-07	0.000157463617674574	5.39477639755053
GAP43	0.387166782026293	7.50778575454922	5.02131190206	9.79991232752075e-07	0.000163119832187255	5.34570786810593
SSFA2	-0.239303671710394	6.65900872543879	-5.01852506788775	9.92981822943999e-07	0.000163119832187255	5.3334924453352
